dist_razon_social,dist_web,loc_cp,loc_sucursal,loc_prov,loc_partido,loc_region,suc_domicilio,suc_tel,suc_correo,suc_lat,suc_lng,lat_decimal,long_decimal,coord_maps,link_maps,link_como_llegar,source_status
AFA,www.afascl.coop,2743,Arroyo Dulce,Buenos Aires,Salto,NUCLEO,av F. Blanco s/n,02477 491669,,"34°06'04,92''S","60°24'32,05''O",-34.1013667,-60.4089028,"-34.1013667,-60.4089028","https://www.google.com/maps/search/?api=1&query=-34.1013667,-60.4089028","https://www.google.com/maps/dir/?api=1&destination=-34.1013667,-60.4089028",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2187,Arteaga,Santa Fe,Caseros,NUCLEO,Bv. Rogelio Nardi 32 bis,Oficina 03467-450304/228/505 | Planta 03467-450231/433,afaarteaga@afascl.coop; jbracco_art@afascl.coop,"33°05'25,48""S","61°47'29,30""O",-33.0904111,-61.7914722,"-33.0904111,-61.7914722","https://www.google.com/maps/search/?api=1&query=-33.0904111,-61.7914722","https://www.google.com/maps/dir/?api=1&destination=-33.0904111,-61.7914722",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,6003,Ascension,Buenos Aires,General Arenales,NUCLEO,RUTA 45 S/N°,,,"34°14'07,37''S","61°06'17,58''O",-34.2353806,-61.1048833,"-34.2353806,-61.1048833","https://www.google.com/maps/search/?api=1&query=-34.2353806,-61.1048833","https://www.google.com/maps/dir/?api=1&destination=-34.2353806,-61.1048833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,5141,Balnearia,Cordoba,San Justo,CENTRO,,,,"31°00'46,09''S","62°39'56,61''O",-31.0128028,-62.665725,"-31.0128028,-62.665725","https://www.google.com/maps/search/?api=1&query=-31.0128028,-62.665725","https://www.google.com/maps/dir/?api=1&destination=-31.0128028,-62.665725",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3170,Basavilbaso,Entre Rios,Uruguay,NUCLEO,,,,"32°22'07,62""S","58°52'29,84""O",-32.3687833,-58.8749556,"-32.3687833,-58.8749556","https://www.google.com/maps/search/?api=1&query=-32.3687833,-58.8749556","https://www.google.com/maps/dir/?api=1&destination=-32.3687833,-58.8749556",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2550,Bell Ville,Cordoba,Union,CENTRO,,,,"32°37'49,83''S","62°41'19,88''O",-32.6305083,-62.6888556,"-32.6305083,-62.6888556","https://www.google.com/maps/search/?api=1&query=-32.6305083,-62.6888556","https://www.google.com/maps/dir/?api=1&destination=-32.6305083,-62.6888556",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2177,Bigand,Santa Fe,Caseros,NUCLEO,Ruta Prov Nº 14 Km 62,Oficina 03464-461284/900/058 | Planta 03464-460070,afabigand@afascl.coop; jgrassi_bgn@afascl.coop; gtettamanti_bgn@afascl.coop,"33°22'20,54""S","61°11'07,06""O",-33.3723722,-61.1852944,"-33.3723722,-61.1852944","https://www.google.com/maps/search/?api=1&query=-33.3723722,-61.1852944","https://www.google.com/maps/dir/?api=1&destination=-33.3723722,-61.1852944",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2179,Bombal,Santa Fe,Constitucion,NUCLEO,Juan de Garay 301,Oficina 03465-497019/584/833 | Planta 03465-497021,afabombal@afascl.coop; luciano_dituro_bbl@afascl.coop,"33°27'25,17""S","61°19'08,54""O",-33.4569917,-61.3190389,"-33.4569917,-61.3190389","https://www.google.com/maps/search/?api=1&query=-33.4569917,-61.3190389","https://www.google.com/maps/dir/?api=1&destination=-33.4569917,-61.3190389",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2523,Bouquet,Santa Fe,Belgrano,NUCLEO,,,,"32°25'26,79""S","61°53'20,72""O",-32.4241083,-61.8890889,"-32.4241083,-61.8890889","https://www.google.com/maps/search/?api=1&query=-32.4241083,-61.8890889","https://www.google.com/maps/dir/?api=1&destination=-32.4241083,-61.8890889",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,6640,Bragado,Buenos Aires,Bragado,NUCLEO,,,,"35°06'55,71''S","60°29'23,79''O",-35.115475,-60.4899417,"-35.115475,-60.4899417","https://www.google.com/maps/search/?api=1&query=-35.115475,-60.4899417","https://www.google.com/maps/dir/?api=1&destination=-35.115475,-60.4899417",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,5969,Calchin,Cordoba,Rio Segundo,CENTRO,,,ptorres_mca@afascl.coop,"31°40'03,59''S","63°11'59,81''O",-31.6676639,-63.1999472,"-31.6676639,-63.1999472","https://www.google.com/maps/search/?api=1&query=-31.6676639,-63.1999472","https://www.google.com/maps/dir/?api=1&destination=-31.6676639,-63.1999472",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2500,Cañada De Gomez,Santa Fe,Iriondo,NUCLEO,San Martín 968,Oficina 03471-422117/086/428857 | Planta 03471-423313/425921,afacgomez@afascl.coop; sergiochiarotti_cdg@afascl.coop; ftorres_cdg@afascl.coop,"32°49'16,18""S","61°23'43,34""O",-32.8211611,-61.3953722,"-32.8211611,-61.3953722","https://www.google.com/maps/search/?api=1&query=-32.8211611,-61.3953722","https://www.google.com/maps/dir/?api=1&destination=-32.8211611,-61.3953722",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2105,Cañada Rica,Santa Fe,Constitucion,NUCLEO,13 De Junio 586,03460-499031,danielcortasa_jbm@afascl.coop,"33°30'55,10""S","60°36'46,29""O",-33.5153056,-60.6128583,"-33.5153056,-60.6128583","https://www.google.com/maps/search/?api=1&query=-33.5153056,-60.6128583","https://www.google.com/maps/dir/?api=1&destination=-33.5153056,-60.6128583",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2454,Cañada Rosquin,Santa Fe,San Martin,NUCLEO,Malvinas Argentinas 701,Oficina 03401-470293/360/405 | Planta 03401-494029,afacrosquin@afascl.coop; eduardo_galetto_crq@afascl.coop; maria_passerini_crq@afascl.coop; ezequiel_vergara_crq@afascl.coop,"32°03'11,20""S","61°36'07,94""O",-32.0531111,-61.6022056,"-32.0531111,-61.6022056","https://www.google.com/maps/search/?api=1&query=-32.0531111,-61.6022056","https://www.google.com/maps/dir/?api=1&destination=-32.0531111,-61.6022056",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2752,Capitan Sarmiento,Buenos Aires,Capitan Sarmiento,NUCLEO,,,,"34°10'16,27''S","59°47'37,29''O",-34.1711861,-59.7936917,"-34.1711861,-59.7936917","https://www.google.com/maps/search/?api=1&query=-34.1711861,-59.7936917","https://www.google.com/maps/dir/?api=1&destination=-34.1711861,-59.7936917",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2138,Carcaraña,Santa Fe,San Lorenzo,NUCLEO,,03476-494250,gonzalosieber_stg@afascl.coop,"32°51'26,03""S","61°09'28,27""O",-32.8572306,-61.1578528,"-32.8572306,-61.1578528","https://www.google.com/maps/search/?api=1&query=-32.8572306,-61.1578528","https://www.google.com/maps/dir/?api=1&destination=-32.8572306,-61.1578528",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2109,Carmen Del Sauce,Santa Fe,Rosario,NUCLEO,,,,"33°14'14,92""S","60°48'41,63""O",-33.2374778,-60.8115639,"-33.2374778,-60.8115639","https://www.google.com/maps/search/?api=1&query=-33.2374778,-60.8115639","https://www.google.com/maps/dir/?api=1&destination=-33.2374778,-60.8115639",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,5915,Carrilobo,Cordoba,Rio Segundo,CENTRO,Av Gral Mitre 498,(353) 489 - 4488,,"31°52'11,11''S","63°06'56,57''O",-31.8697528,-63.1157139,"-31.8697528,-63.1157139","https://www.google.com/maps/search/?api=1&query=-31.8697528,-63.1157139","https://www.google.com/maps/dir/?api=1&destination=-31.8697528,-63.1157139",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2218,Carrizales,Santa Fe,Iriondo,NUCLEO,,,,"32°30'28,53""S","61°01'55,50""O",-32.507925,-61.0320833,"-32.507925,-61.0320833","https://www.google.com/maps/search/?api=1&query=-32.507925,-61.0320833","https://www.google.com/maps/dir/?api=1&destination=-32.507925,-61.0320833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2170,Casilda,Santa Fe,Caseros,NUCLEO,Bv.Colón 1031- Ruta 33,Oficina 03464-422424/3242/7434 | Planta 03464-422684/494318,afacasilda@afascl.coop; oscar_zucco_csd@afascl.coop; fcimadomo_csd@afascl.coop; s_bartoluzzi_csd@afascl.coop,"33°02'40,19""S","61°09'54,05""O",-33.0444972,-61.1650139,"-33.0444972,-61.1650139","https://www.google.com/maps/search/?api=1&query=-33.0444972,-61.1650139","https://www.google.com/maps/dir/?api=1&destination=-33.0444972,-61.1650139",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2625,Cavanagh,Cordoba,Marcos Juarez,NUCLEO,,,,"33°28'33,12''S","62°20'19,33''O",-33.4758667,-62.3387028,"-33.4758667,-62.3387028","https://www.google.com/maps/search/?api=1&query=-33.4758667,-62.3387028","https://www.google.com/maps/dir/?api=1&destination=-33.4758667,-62.3387028",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3122,Colonia Cerrito,Entre Rios,Parana,CENTRO,,0343-4891270,mceparo_srd@afascl.coop,"31°34'47,91""S","60°04'32,79""O",-31.579975,-60.075775,"-31.579975,-60.075775","https://www.google.com/maps/search/?api=1&query=-31.579975,-60.075775","https://www.google.com/maps/dir/?api=1&destination=-31.579975,-60.075775",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2173,Chabas,Santa Fe,Caseros,NUCLEO,,,,"33°14'45,79""S","61°21'25,43""O",-33.2460528,-61.3570639,"-33.2460528,-61.3570639","https://www.google.com/maps/search/?api=1&query=-33.2460528,-61.3570639","https://www.google.com/maps/dir/?api=1&destination=-33.2460528,-61.3570639",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2643,Chañar Ladeado,Santa Fe,Caseros,NUCLEO,,03468-482380,eprimon_art@afascl.coop,"33°19'28,00""S","62°02'27,37""O",-33.3244444,-62.0409361,"-33.3244444,-62.0409361","https://www.google.com/maps/search/?api=1&query=-33.3244444,-62.0409361","https://www.google.com/maps/dir/?api=1&destination=-33.3244444,-62.0409361",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3730,Charata,Chaco,Chacabuco,NEA,,03731-427070,leo_charata_crq@afascl.coop,"27°13'04,76''S","61°11'14,50''O",-27.2179889,-61.1873611,"-27.2179889,-61.1873611","https://www.google.com/maps/search/?api=1&query=-27.2179889,-61.1873611","https://www.google.com/maps/dir/?api=1&destination=-27.2179889,-61.1873611",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2633,Chovet,Santa Fe,General Lopez,NUCLEO,Estanislao López 464,03465-493275/3226/160,afachovet@afascl.coop; ingmolina_chv@afascl.coop; eambrogio_chv@afascl.coop,"33°36'01,16""S","61°36'28,61""O",-33.6003222,-61.6079472,"-33.6003222,-61.6079472","https://www.google.com/maps/search/?api=1&query=-33.6003222,-61.6079472","https://www.google.com/maps/dir/?api=1&destination=-33.6003222,-61.6079472",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2559,Cintra,Cordoba,Union,CENTRO,,,,"32°18'25,25''S","62°39'04,45''O",-32.3070139,-62.6512361,"-32.3070139,-62.6512361","https://www.google.com/maps/search/?api=1&query=-32.3070139,-62.6512361","https://www.google.com/maps/dir/?api=1&destination=-32.3070139,-62.6512361",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2407,Clucellas,Santa Fe,Castellanos,NUCLEO,,,,"31°27'05,86""S","61°42'24,06""O",-31.4516278,-61.7066833,"-31.4516278,-61.7066833","https://www.google.com/maps/search/?api=1&query=-31.4516278,-61.7066833","https://www.google.com/maps/dir/?api=1&destination=-31.4516278,-61.7066833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2257,Colonia Belgrano,Santa Fe,San Martin,NUCLEO,,,,"31°54'34,70""S","61°24'07,44""O",-31.9096389,-61.4020667,"-31.9096389,-61.4020667","https://www.google.com/maps/search/?api=1&query=-31.9096389,-61.4020667","https://www.google.com/maps/dir/?api=1&destination=-31.9096389,-61.4020667",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2144,Colonia Medici,Santa Fe,Iriondo,NUCLEO,,,,"32°38'12,60""S","61°22'26,27""O",-32.6368333,-61.3739639,"-32.6368333,-61.3739639","https://www.google.com/maps/search/?api=1&query=-32.6368333,-61.3739639","https://www.google.com/maps/dir/?api=1&destination=-32.6368333,-61.3739639",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2123,Coronel Arnold,Santa Fe,San Lorenzo,NUCLEO,Calle 2 S/N,(341) 490 - 2397,,"33°06'21,33""S","60°57'57,79""O",-33.105925,-60.9660528,"-33.105925,-60.9660528","https://www.google.com/maps/search/?api=1&query=-33.105925,-60.9660528","https://www.google.com/maps/dir/?api=1&destination=-33.105925,-60.9660528",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3116,Crespo,Entre Rios,Parana,NUCLEO,,0343-156200226,jtaborda_srd@afascl.coop,"32°01'51,20""S","60°18'25,86""O",-32.0308889,-60.3071833,"-32.0308889,-60.3071833","https://www.google.com/maps/search/?api=1&query=-32.0308889,-60.3071833","https://www.google.com/maps/dir/?api=1&destination=-32.0308889,-60.3071833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3061,Cuatro Bocas,Santiago Del Estero,Belgrano,CENTRO,,,,"28°51'46,92""S","61°51'23,77""O",-28.8630333,-61.8566028,"-28.8630333,-61.8566028","https://www.google.com/maps/search/?api=1&query=-28.8630333,-61.8566028","https://www.google.com/maps/dir/?api=1&destination=-28.8630333,-61.8566028",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2715,El Socorro,Buenos Aires,Pergamino,NUCLEO,,,,"33°39'49,35''S","60°42'31,24''O",-33.6637083,-60.7086778,"-33.6637083,-60.7086778","https://www.google.com/maps/search/?api=1&query=-33.6637083,-60.7086778","https://www.google.com/maps/dir/?api=1&destination=-33.6637083,-60.7086778",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2432,El Tio,Cordoba,San Justo,CENTRO,,,,"31°23'04,30''S","62°49'42,43''O",-31.3845278,-62.8284528,"-31.3845278,-62.8284528","https://www.google.com/maps/search/?api=1&query=-31.3845278,-62.8284528","https://www.google.com/maps/dir/?api=1&destination=-31.3845278,-62.8284528",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3087,Felicia,Santa Fe,Las Colonias,NUCLEO,,,ccanepa_hmb@afascl.coop,"31°14'43,35""S","61°12'50,87""O",-31.245375,-61.2141306,"-31.245375,-61.2141306","https://www.google.com/maps/search/?api=1&query=-31.245375,-61.2141306","https://www.google.com/maps/dir/?api=1&destination=-31.245375,-61.2141306",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,6003,Ferre,Buenos Aires,General Arenales,NUCLEO,Av Corrientes S/N,02353 498186,luis_crosetti_rjs@afascl.coop,"34°07'22,14''S","61°08'00,68''O",-34.1228167,-61.1335222,"-34.1228167,-61.1335222","https://www.google.com/maps/search/?api=1&query=-34.1228167,-61.1335222","https://www.google.com/maps/dir/?api=1&destination=-34.1228167,-61.1335222",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2630,Firmat,Santa Fe,General Lopez,NUCLEO,Camino Público entre Ruta Provincial 14 y Firmat,Oficina 03465-423025/424708/423783 | Planta 03465-423612/890/421758,afafirmat@afascl.coop; robertoromero_frm@afascl.coop; davidgiuliani_frm@afascl.coop,"33°27'30,17""S","61°29'10,52""O",-33.4583806,-61.4862556,"-33.4583806,-61.4862556","https://www.google.com/maps/search/?api=1&query=-33.4583806,-61.4862556","https://www.google.com/maps/dir/?api=1&destination=-33.4583806,-61.4862556",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2123,Fuentes,Santa Fe,San Lorenzo,NUCLEO,Ruta S 26 Km 624,03464-493522,d_vitelli_csd@afascl.coop,"33°10'21,27""S","61°04'23,75""O",-33.172575,-61.0732639,"-33.172575,-61.0732639","https://www.google.com/maps/search/?api=1&query=-33.172575,-61.0732639","https://www.google.com/maps/dir/?api=1&destination=-33.172575,-61.0732639",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2252,Galvez,Santa Fe,San Jeronimo,NUCLEO,,03404-517878,mbertaina_sme@afascl.coop,"32°01'45,40""S","61°13'27,91""O",-32.0292778,-61.2244194,"-32.0292778,-61.2244194","https://www.google.com/maps/search/?api=1&query=-32.0292778,-61.2244194","https://www.google.com/maps/dir/?api=1&destination=-32.0292778,-61.2244194",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2592,General Roca,Cordoba,Marcos Juarez,NUCLEO,,,,"32°43'46,67''S","61°54'57,54''O",-32.7296306,-61.9159833,"-32.7296306,-61.9159833","https://www.google.com/maps/search/?api=1&query=-32.7296306,-61.9159833","https://www.google.com/maps/dir/?api=1&destination=-32.7296306,-61.9159833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2905,General Rojo,Buenos Aires,San Nicolas,NUCLEO,,,,"33°28 '26,64''S","60°17'17,27''O",-33.4740667,-60.2881306,"-33.4740667,-60.2881306","https://www.google.com/maps/search/?api=1&query=-33.4740667,-60.2881306","https://www.google.com/maps/dir/?api=1&destination=-33.4740667,-60.2881306",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,6230,General Villegas,Buenos Aires,General Villegas,OESTE,,,,"35°01'57,50''S","63°00'53,43''O",-35.0326389,-63.0148417,"-35.0326389,-63.0148417","https://www.google.com/maps/search/?api=1&query=-35.0326389,-63.0148417","https://www.google.com/maps/dir/?api=1&destination=-35.0326389,-63.0148417",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2640,Godeken,Santa Fe,Caseros,NUCLEO,,03465-498067,ricardomiranda_frm@afascl.coop,"33°24'07,48""S","61°50'39,25""O",-33.4020778,-61.8442361,"-33.4020778,-61.8442361","https://www.google.com/maps/search/?api=1&query=-33.4020778,-61.8442361","https://www.google.com/maps/dir/?api=1&destination=-33.4020778,-61.8442361",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2840,Gualeguay,Entre Rios,Gualeguay,NUCLEO,Ruta 11 km 217,,joaquinramos_stg@afascl.coop; jpferrando_stg@afascl.coop,"33°09'03,43""S","59°18'39,26""O",-33.1509528,-59.3109056,"-33.1509528,-59.3109056","https://www.google.com/maps/search/?api=1&query=-33.1509528,-59.3109056","https://www.google.com/maps/dir/?api=1&destination=-33.1509528,-59.3109056",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2627,Guatimozin,Cordoba,Marcos Juarez,NUCLEO,,,,"33°27'48,96''S","62°26'19,62''O",-33.4636,-62.4387833,"-33.4636,-62.4387833","https://www.google.com/maps/search/?api=1&query=-33.4636,-62.4387833","https://www.google.com/maps/dir/?api=1&destination=-33.4636,-62.4387833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2309,Humberto Primo,Santa Fe,Castellanos,NUCLEO,,03496-480474,guillermoberrone_hmb@afascl.coop,"30°52'04,49""S","61°21'01,89""O",-30.8679139,-61.350525,"-30.8679139,-61.350525","https://www.google.com/maps/search/?api=1&query=-30.8679139,-61.350525","https://www.google.com/maps/dir/?api=1&destination=-30.8679139,-61.350525",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,3081,Humboldt,Santa Fe,Las Colonias,NUCLEO,San Martín 1887,Oficina 03496-480128/555/273 | Planta 03496-480715,afahumboldt@afascl.coop; ingenieros_hmb@afascl.coop; guillermogianinetto_hmb@afascl.coop; mmeyer_hmb@afascl.coop,"31°23'56,52""S","61°04'54,81""O",-31.3990333,-61.0818917,"-31.3990333,-61.0818917","https://www.google.com/maps/search/?api=1&query=-31.3990333,-61.0818917","https://www.google.com/maps/dir/?api=1&destination=-31.3990333,-61.0818917",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2707,Hunter,Buenos Aires,Rojas,NUCLEO,,,,"34°14'51,35''S","60°31'56,94''O",-34.2475972,-60.5324833,"-34.2475972,-60.5324833","https://www.google.com/maps/search/?api=1&query=-34.2475972,-60.5324833","https://www.google.com/maps/dir/?api=1&destination=-34.2475972,-60.5324833",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2747,Ines Indart,Buenos Aires,Salto,NUCLEO,Roca S/N,(2474) 49 - 8044,,"34°23'51,05''S","60°32'32,01''O",-34.3975139,-60.542225,"-34.3975139,-60.542225","https://www.google.com/maps/search/?api=1&query=-34.3975139,-60.542225","https://www.google.com/maps/dir/?api=1&destination=-34.3975139,-60.542225",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,5220,Jesus Maria,Cordoba,Colon,CENTRO,P Frías 737 PB,(03525) 42 - 2512,,"30°58'53,59''S","64°05'44,88''O",-30.9815528,-64.0958,"-30.9815528,-64.0958","https://www.google.com/maps/search/?api=1&query=-30.9815528,-64.0958","https://www.google.com/maps/dir/?api=1&destination=-30.9815528,-64.0958",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,6127,Jovita,Cordoba,General Roca,OESTE,Av B Rivadavia 234,(03385) 49 - 8359,,"34°31'10,36''S","63°56'41,12''O",-34.5195444,-63.9447556,"-34.5195444,-63.9447556","https://www.google.com/maps/search/?api=1&query=-34.5195444,-63.9447556","https://www.google.com/maps/dir/?api=1&destination=-34.5195444,-63.9447556",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,2103,Juan Bautista Molina,Santa Fe,Constitucion,NUCLEO,San Martín 115,Oficina 03460-498308/208 | Planta 498294/471,afajbmolina@afascl.coop; eduardo_cortina_jbm@afascl.coop,"33°29'42,82""S","60°30'44,17""O",-33.4952278,-60.5122694,"-33.4952278,-60.5122694","https://www.google.com/maps/search/?api=1&query=-33.4952278,-60.5122694","https://www.google.com/maps/dir/?api=1&destination=-33.4952278,-60.5122694",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,6000,Junin,Buenos Aires,Junin,NUCLEO,Iberlucea 1102,02362-425814,afajunin@afascl.coop; afajunin@afascl.coop,"34°35'18,78''S","60°56'58,39''O",-34.58855,-60.9495528,"-34.58855,-60.9495528","https://www.google.com/maps/search/?api=1&query=-34.58855,-60.9495528","https://www.google.com/maps/dir/?api=1&destination=-34.58855,-60.9495528",RED_AFA_coordenadas_maps.xlsx
AFA,www.afascl.coop,5738,Justo Daract,San Luis,General Pedernera,CENTRO,,,gabrielnafissi_frm@afascl.coop,"33°51'29,59""S","65°10'46,16""O",-33.8582194,-65.1794889,"-33.8582194,-65.1794889","https://www.google.com/maps/search/?api=1&query=-33.8582194,-65.1794889","https://www.google.com/maps/dir/?api=1&destination=-33.8582194,-65.1794889",RED_AFA_coordenadas_maps.xlsx
